Date,MC,Amoeba,Type,dilute,Read1,rd1_new,diulte,Read2,rd_2_new,Avg,STDEV
0,195-2 MC+,I7-2,CHLA,1,5732.2,5732.2,1,5412.6,5412.6,,
2,195-2 MC+,I7-2,PC,1,32307,32307,1,32582,32582,,
2,195-2 MC+,I7-2,CHLA,1,3897.2,3897.2,1,3984.6,3984.6,,
5,195-2 MC+,I7-2,PC,1,27155,27155,1,25603,25603,,
5,195-2 MC+,I7-2,CHLA,1,3346.5,3346.5,1,3064,3064,,
7,195-2 MC+,I7-2,PC,1,54657,54657,1,57191,57191,,
7,195-2 MC+,I7-2,CHLA,1,5772.4,5772.4,1,6222.6,6222.6,,
9,195-2 MC+,I7-2,PC,1,93970,93970,1,97472,97472,,
9,195-2 MC+,I7-2,CHLA,1,8933.9,8933.9,1,9505.8,9505.8,,
12,195-2 MC+,I7-2,PC,0.5,85054,170108,0.5,82382,164764,,
12,195-2 MC+,I7-2,CHLA,0.5,8315.9,16631.8,0.5,8068.7,16137.4,,
14,195-2 MC+,I7-2,PC,0.5,100955,201910,0.5,98834,197668,,
14,195-2 MC+,I7-2,CHLA,0.5,10304,20608,0.5,10091,20182,,
16,195-2 MC+,I7-2,PC,0.5,90324,180648,0.5,93315,186630,,
16,195-2 MC+,I7-2,CHLA,0.5,10251,20502,0.5,10124,20248,,
0,195-2 MC+,U,PC,1,38029,38029,1,38324,38324,,
0,195-2 MC+,U,CHLA,1,5133.2,5133.2,1,4668.9,4668.9,,
2,195-2 MC+,U,PC,1,23954,23954,1,25289,25289,,
2,195-2 MC+,U,CHLA,1,2956.5,2956.5,1,3024.9,3024.9,,
5,195-2 MC+,U,PC,1,28870,28870,1,29675,29675,,
5,195-2 MC+,U,CHLA,1,2982.7,2982.7,1,3116.3,3116.3,,
7,195-2 MC+,U,PC,1,44811,44811,1,39587,39587,,
7,195-2 MC+,U,CHLA,1,4385.5,4385.5,1,4035.8,4035.8,,
9,195-2 MC+,U,PC,1,64949,64949,1,61734,61734,,
9,195-2 MC+,U,CHLA,1,5809.5,5809.5,1,5631.6,5631.6,,
12,195-2 MC+,U,PC,1,76216,76216,1,85106,85106,,
12,195-2 MC+,U,CHLA,1,7064.7,7064.7,1,7434.5,7434.5,,
14,195-2 MC+,U,PC,0.5,78507,157014,0.5,66782,133564,,
14,195-2 MC+,U,CHLA,0.5,7359.2,14718.4,0.5,6293,12586,,
16,195-2 MC+,U,PC,0.33,55613,168524.2424,0.33,64202,194551.5152,,
16,195-2 MC+,U,CHLA,0.33,5671.8,17187.27273,0.33,6322.1,19157.87879,,
0,195-2 MC+,WC-1,PC,1,38363,38363,1,39109,39109,,
0,195-2 MC+,WC-1,CHLA,1,5308.1,5308.1,1,5231.7,5231.7,,
2,195-2 MC+,WC-1,PC,1,30985,30985,1,30265,30265,,
2,195-2 MC+,WC-1,CHLA,1,3695.1,3695.1,1,3659,3659,,
5,195-2 MC+,WC-1,PC,1,29361,29361,1,28418,28418,,
5,195-2 MC+,WC-1,CHLA,1,3132.4,3132.4,1,3180.7,3180.7,,
7,195-2 MC+,WC-1,PC,1,53328,53328,1,56065,56065,,
7,195-2 MC+,WC-1,CHLA,1,5433.8,5433.8,1,5918.2,5918.2,,
