Date,MC,Amoeba,Type,dilute,Read1,rd1_new,diulte,Read2,rd_2_new,Avg,STDEV
16,22.1-2,WC-1,CHLA,1,10502,10502,1,9947,9947,,
0,52.2-2,A22.3,PC,1,25204,25204,1,25086,25086,,
0,52.2-2,A22.3,CHLA,1,4893,4893,1,4802.6,4802.6,,
2,52.2-2,A22.3,PC,1,32425,32425,1,31744,31744,,
2,52.2-2,A22.3,CHLA,1,3911.2,3911.2,1,3559.5,3559.5,,
5,52.2-2,A22.3,PC,1,31738,31738,1,47692,47692,,
5,52.2-2,A22.3,CHLA,1,3488.1,3488.1,1,5150.3,5150.3,,
7,52.2-2,A22.3,PC,1,55522,55522,1,78245,78245,,
7,52.2-2,A22.3,CHLA,1,5358.4,5358.4,1,7557.2,7557.2,,
9,52.2-2,A22.3,PC,1,78978,78978,1,94468,94468,,
9,52.2-2,A22.3,CHLA,1,7472.8,7472.8,1,8980.2,8980.2,,
12,52.2-2,A22.3,PC,0.5,93963,187926,0.5,73911,147822,,
12,52.2-2,A22.3,CHLA,0.5,9281.7,18563.4,0.5,7345.2,14690.4,,
14,52.2-2,A22.3,PC,0.5,98795,197590,0.5,93433,186866,,
14,52.2-2,A22.3,CHLA,0.5,10053,20106,0.5,9661.5,19323,,
16,52.2-2,A22.3,PC,0.5,84189,168378,0.5,52739,105478,,
16,52.2-2,A22.3,CHLA,0.5,9935.9,19871.8,0.5,9072.7,18145.4,,
0,52.2-2,A54.2,PC,1,24451,24451,1,23482,23482,,
0,52.2-2,A54.2,CHLA,1,4681,4681,1,4661.9,4661.9,,
2,52.2-2,A54.2,PC,1,33813,33813,1,35188,35188,,
2,52.2-2,A54.2,CHLA,1,4005.7,4005.7,1,4021.7,4021.7,,
5,52.2-2,A54.2,PC,1,68536,68536,1,77479,77479,,
5,52.2-2,A54.2,CHLA,1,6820.6,6820.6,1,7752.2,7752.2,,
7,52.2-2,A54.2,PC,1,101342,101342,1,100831,100831,,
7,52.2-2,A54.2,CHLA,1,10243,10243,1,11426,11426,,
9,52.2-2,A54.2,PC,0.5,101590,203180,0.5,98736,197472,,
9,52.2-2,A54.2,CHLA,0.5,10128,20256,0.5,9645.5,19291,,
12,52.2-2,A54.2,PC,0.33,81309,246390.9091,0.5,87783,175566,,
12,52.2-2,A54.2,CHLA,0.33,7777.3,23567.57576,0.5,8572.2,17144.4,,
14,52.2-2,A54.2,PC,0.5,72052,144104,0.5,50553,101106,,
14,52.2-2,A54.2,CHLA,0.5,8108.9,16217.8,0.5,6709,13418,,
16,52.2-2,A54.2,PC,1,77158,77158,1,51122,51122,,
16,52.2-2,A54.2,CHLA,1,10466,10466,1,8396.1,8396.1,,
0,52.2-2,I6-1,PC,1,28104,28104,1,28418,28418,,
0,52.2-2,I6-1,CHLA,1,5354.3,5354.3,1,5588.5,5588.5,,
2,52.2-2,I6-1,PC,1,38193,38193,1,36157,36157,,
2,52.2-2,I6-1,CHLA,1,4735.3,4735.3,1,4476,4476,,
5,52.2-2,I6-1,PC,1,93387,93387,1,87018,87018,,
5,52.2-2,I6-1,CHLA,1,8643.6,8643.6,1,8614.4,8614.4,,
7,52.2-2,I6-1,PC,0.5,74252,148504,0.5,75456,150912,,
7,52.2-2,I6-1,CHLA,0.5,7646.6,15293.2,0.5,7907.9,15815.8,,
9,52.2-2,I6-1,PC,0.5,92327,184654,0.5,96170,192340,,
9,52.2-2,I6-1,CHLA,0.5,9441.4,18882.8,0.5,10038,20076,,
12,52.2-2,I6-1,PC,0.5,92130,184260,0.5,103528,207056,,
12,52.2-2,I6-1,CHLA,0.5,10105,20210,0.5,11005,22010,,
14,52.2-2,I6-1,PC,0.5,83129,166258,0.5,62756,125512,,
14,52.2-2,I6-1,CHLA,0.5,9850.4,19700.8,0.5,9593.2,19186.4,,
16,52.2-2,I6-1,PC,1,73152,73152,1,69152,69152,,
16,52.2-2,I6-1,CHLA,1,12632,12632,1,11705,11705,,
0,52.2-2,I6-2,PC,1,30448,30448,1,31201,31201,,
0,52.2-2,I6-2,CHLA,1,5067.9,5067.9,1,5220.7,5220.7,,
2,52.2-2,I6-2,PC,1,36085,36085,1,39430,39430,,
2,52.2-2,I6-2,CHLA,1,4198.7,4198.7,1,4516.2,4516.2,,
5,52.2-2,I6-2,PC,1,97276,97276,1,90173,90173,,
5,52.2-2,I6-2,CHLA,1,9869.6,9869.6,1,8692.7,8692.7,,
7,52.2-2,I6-2,PC,0.5,81970,163940,0.5,78821,157642,,
7,52.2-2,I6-2,CHLA,0.5,7983.3,15966.6,0.5,8107.8,16215.6,,
9,52.2-2,I6-2,PC,0.5,102507,205014,0.5,96628,193256,,
9,52.2-2,I6-2,CHLA,0.5,10359,20718,0.5,10013,20026,,
12,52.2-2,I6-2,PC,0.33,80451,243790.9091,0.5,94022,188044,,
12,52.2-2,I6-2,CHLA,0.33,7588.4,22995.15152,0.5,9742.9,19485.8,,
14,52.2-2,I6-2,PC,0.5,63731,127462,0.5,50304,100608,,
14,52.2-2,I6-2,CHLA,0.5,8654.6,17309.2,0.5,7405.5,14811,,
16,52.2-2,I6-2,PC,1,56635,56635,1,48111,48111,,
16,52.2-2,I6-2,CHLA,1,9794.2,9794.2,1,10137,10137,,
0,52.2-2,I7-2,PC,1,29584,29584,1,28418,28418,,
0,52.2-2,I7-2,CHLA,1,5047.8,5047.8,1,4925.2,4925.2,,
2,52.2-2,I7-2,PC,1,37767,37767,1,37420,37420,,
2,52.2-2,I7-2,CHLA,1,4284.1,4284.1,1,4178.6,4178.6,,
5,52.2-2,I7-2,PC,1,72000,72000,1,73512,73512,,
5,52.2-2,I7-2,CHLA,1,7056.7,7056.7,1,7078.9,7078.9,,
7,52.2-2,I7-2,PC,1,100471,100471,1,87463,87463,,
7,52.2-2,I7-2,CHLA,1,9589.2,9589.2,1,9158.1,9158.1,,
9,52.2-2,I7-2,PC,0.5,70540,141080,0.5,87070,174140,,
9,52.2-2,I7-2,CHLA,0.5,7631.6,15263.2,0.5,8512.9,17025.8,,
12,52.2-2,I7-2,PC,0.5,62461,124922,0.5,81564,163128,,
12,52.2-2,I7-2,CHLA,0.5,7851.6,15703.2,0.5,8696.8,17393.6,,
14,52.2-2,I7-2,PC,0.5,36955,73910,1,71895,71895,,
14,52.2-2,I7-2,CHLA,0.5,7314,14628,1,9868.5,9868.5,,
16,52.2-2,I7-2,PC,1,42481,42481,1,40916,40916,,
16,52.2-2,I7-2,CHLA,1,9630.4,9630.4,1,9676.6,9676.6,,
0,52.2-2,U,PC,1,22252,22252,1,21512,21512,,
0,52.2-2,U,CHLA,1,4029.8,4029.8,1,4100.2,4100.2,,
2,52.2-2,U,PC,1,34834,34834,1,35600,35600,,
2,52.2-2,U,CHLA,1,3689.1,3689.1,1,3760.4,3760.4,,
5,52.2-2,U,PC,1,74206,74206,1,71384,71384,,
5,52.2-2,U,CHLA,1,6457.7,6457.7,1,6525.1,6525.1,,
7,52.2-2,U,PC,1,100307,100307,1,97387,97387,,
7,52.2-2,U,CHLA,1,8755.1,8755.1,1,8676.7,8676.7,,
9,52.2-2,U,PC,0.5,94723,189446,0.5,93571,187142,,
9,52.2-2,U,CHLA,0.5,9652.5,19305,0.5,9107.9,18215.8,,
12,52.2-2,U,PC,0.5,73335,146670,0.5,67247,134494,,
12,52.2-2,U,CHLA,0.5,8171.2,16342.4,0.5,7429.5,14859,,
14,52.2-2,U,PC,0.5,42396,84792,1,61826,61826,,
14,52.2-2,U,CHLA,0.5,6988.4,13976.8,1,8809.4,8809.4,,
16,52.2-2,U,PC,1,40458,40458,1,43436,43436,,
16,52.2-2,U,CHLA,1,8274.7,8274.7,1,9058.6,9058.6,,
0,52.2-2,WC-1,PC,1,25819,25819,1,24995,24995,,
0,52.2-2,WC-1,CHLA,1,4653.9,4653.9,1,4604.7,4604.7,,
2,52.2-2,WC-1,PC,1,32779,32779,1,33990,33990,,
2,52.2-2,WC-1,CHLA,1,3909.3,3909.3,1,3868,3868,,
5,52.2-2,WC-1,PC,1,67646,67646,1,62795,62795,,
5,52.2-2,WC-1,CHLA,1,6684.9,6684.9,1,6436.7,6436.7,,
7,52.2-2,WC-1,PC,1,94173,94173,1,86546,86546,,
7,52.2-2,WC-1,CHLA,1,9317.8,9317.8,1,8940,8940,,
9,52.2-2,WC-1,PC,0.5,84058,168116,0.5,57689,115378,,
9,52.2-2,WC-1,CHLA,0.5,8412.4,16824.8,0.5,6695,13390,,
12,52.2-2,WC-1,PC,0.5,44157,88314,1,64019,64019,,
12,52.2-2,WC-1,CHLA,0.5,7593.4,15186.8,1,9239.5,9239.5,,
14,52.2-2,WC-1,PC,1,30134,30134,1,37355,37355,,
14,52.2-2,WC-1,CHLA,1,8464.6,8464.6,1,8796.2,8796.2,,
16,52.2-2,WC-1,PC,1,28968,28968,1,19567,19567,,
16,52.2-2,WC-1,CHLA,1,8883.7,8883.7,1,9012.4,9012.4,,
0,52.2-3 MC+,A22.3,PC,1,41571,41571,1,40779,40779,,
0,52.2-3 MC+,A22.3,CHLA,1,4827.7,4827.7,1,4926.3,4926.3,,
2,52.2-3 MC+,A22.3,PC,1,24818,24818,1,31279,31279,,
2,52.2-3 MC+,A22.3,CHLA,1,3003.7,3003.7,1,3503.2,3503.2,,
5,52.2-3 MC+,A22.3,PC,1,36883,36883,1,32851,32851,,
5,52.2-3 MC+,A22.3,CHLA,1,4284.1,4284.1,1,4096.1,4096.1,,
7,52.2-3 MC+,A22.3,PC,1,61459,61459,1,89800,89800,,
7,52.2-3 MC+,A22.3,CHLA,1,6319.1,6319.1,1,8874.7,8874.7,,
9,52.2-3 MC+,A22.3,PC,0.5,67109,134218,0.5,82959,165918,,
9,52.2-3 MC+,A22.3,CHLA,0.5,7420.5,14841,0.5,8023.5,16047,,
12,52.2-3 MC+,A22.3,PC,0.5,76680,153360,0.5,75070,150140,,
12,52.2-3 MC+,A22.3,CHLA,0.5,8458.6,16917.2,0.5,7926,15852,,
14,52.2-3 MC+,A22.3,PC,0.5,92130,184260,0.5,78088,156176,,
14,52.2-3 MC+,A22.3,CHLA,0.5,8721.9,17443.8,0.5,8185.3,16370.6,,
16,52.2-3 MC+,A22.3,PC,1,64824,64824,1,64765,64765,,
16,52.2-3 MC+,A22.3,CHLA,1,8896.7,8896.7,1,8366.1,8366.1,,
0,52.2-3 MC+,A54.2,PC,1,43037,43037,1,41342,41342,,
0,52.2-3 MC+,A54.2,CHLA,1,5129.2,5129.2,1,5012.7,5012.7,,
2,52.2-3 MC+,A54.2,PC,1,26828,26828,1,26828,26828,,
2,52.2-3 MC+,A54.2,CHLA,1,3241.9,3241.9,1,3184.6,3184.6,,
5,52.2-3 MC+,A54.2,PC,1,37217,37217,1,39567,39567,,
5,52.2-3 MC+,A54.2,CHLA,1,4903.1,4903.1,1,4857.8,4857.8,,
7,52.2-3 MC+,A54.2,PC,1,80281,80281,1,80163,80163,,
7,52.2-3 MC+,A54.2,CHLA,1,8670.6,8670.6,1,8408.4,8408.4,,
9,52.2-3 MC+,A54.2,PC,0.5,77623,155246,0.5,78291,156582,,
9,52.2-3 MC+,A54.2,CHLA,0.5,8053.6,16107.2,0.5,8205.3,16410.6,,
12,52.2-3 MC+,A54.2,PC,0.5,87594,175188,0.5,80144,160288,,
12,52.2-3 MC+,A54.2,CHLA,0.5,9518.8,19037.6,0.5,8939,17878,,
14,52.2-3 MC+,A54.2,PC,0.5,71135,142270,0.5,65924,131848,,
14,52.2-3 MC+,A54.2,CHLA,0.5,7974.2,15948.4,0.5,7653.7,15307.4,,
16,52.2-3 MC+,A54.2,PC,1,67986,67986,1,64085,64085,,
16,52.2-3 MC+,A54.2,CHLA,1,9273.7,9273.7,1,9326.9,9326.9,,
0,52.2-3 MC+,I6-1,PC,1,45328,45328,1,47148,47148,,
0,52.2-3 MC+,I6-1,CHLA,1,5765.4,5765.4,1,6022.6,6022.6,,
2,52.2-3 MC+,I6-1,PC,1,29374,29374,1,29492,29492,,
2,52.2-3 MC+,I6-1,CHLA,1,3826.8,3826.8,1,3786.6,3786.6,,
5,52.2-3 MC+,I6-1,PC,1,43188,43188,1,46860,46860,,
5,52.2-3 MC+,I6-1,CHLA,1,5717.2,5717.2,1,5942.2,5942.2,,
7,52.2-3 MC+,I6-1,PC,1,82710,82710,1,84366,84366,,
7,52.2-3 MC+,I6-1,CHLA,1,9084.7,9084.7,1,9347,9347,,
9,52.2-3 MC+,I6-1,PC,1,103096,103096,0.5,78127,156254,,
9,52.2-3 MC+,I6-1,CHLA,1,10578,10578,0.5,8587.2,17174.4,,
12,52.2-3 MC+,I6-1,PC,0.5,89767,179534,0.5,81204,162408,,
12,52.2-3 MC+,I6-1,CHLA,0.5,9993.2,19986.4,0.5,9500.8,19001.6,,
14,52.2-3 MC+,I6-1,PC,0.5,51941,103882,0.5,68779,137558,,
14,52.2-3 MC+,I6-1,CHLA,0.5,8432.5,16865,0.5,8931.9,17863.8,,
16,52.2-3 MC+,I6-1,PC,1,67384,67384,1,44831,44831,,
16,52.2-3 MC+,I6-1,CHLA,1,10555,10555,1,10830,10830,,
0,52.2-3 MC+,I6-2,PC,1,48006,48006,1,46527,46527,,
0,52.2-3 MC+,I6-2,CHLA,1,5457.8,5457.8,1,5333.3,5333.3,,
2,52.2-3 MC+,I6-2,PC,1,32202,32202,1,31725,31725,,
2,52.2-3 MC+,I6-2,CHLA,1,3698.2,3698.2,1,3522.4,3522.4,,
5,52.2-3 MC+,I6-2,PC,1,43895,43895,1,41571,41571,,
5,52.2-3 MC+,I6-2,CHLA,1,5411.6,5411.6,1,5184.5,5184.5,,
7,52.2-3 MC+,I6-2,PC,1,92720,92720,1,89158,89158,,
7,52.2-3 MC+,I6-2,CHLA,1,10030,10030,1,9320.8,9320.8,,
9,52.2-3 MC+,I6-2,PC,0.5,72517,145034,0.5,80170,160340,,
9,52.2-3 MC+,I6-2,CHLA,0.5,7663.8,15327.6,0.5,8529.9,17059.8,,
12,52.2-3 MC+,I6-2,PC,0.5,87810,175620,0.5,76798,153596,,
12,52.2-3 MC+,I6-2,CHLA,0.5,9321.9,18643.8,0.5,9017.4,18034.8,,
14,52.2-3 MC+,I6-2,PC,0.5,69545,139090,0.5,67116,134232,,
14,52.2-3 MC+,I6-2,CHLA,0.5,8299.9,16599.8,0.5,7657.7,15315.4,,
16,52.2-3 MC+,I6-2,PC,1,77446,77446,1,68274,68274,,
16,52.2-3 MC+,I6-2,CHLA,1,10491,10491,1,9514.9,9514.9,,
0,52.2-3 MC+,I7-2,PC,1,46893,46893,1,45368,45368,,
0,52.2-3 MC+,I7-2,CHLA,1,5331.2,5331.2,1,5073.9,5073.9,,
2,52.2-3 MC+,I7-2,PC,1,29486,29486,1,29787,29787,,
2,52.2-3 MC+,I7-2,CHLA,1,3450.9,3450.9,1,3425.8,3425.8,,
5,52.2-3 MC+,I7-2,PC,1,44006,44006,1,43502,43502,,
5,52.2-3 MC+,I7-2,CHLA,1,5438.8,5438.8,1,5274.9,5274.9,,
7,52.2-3 MC+,I7-2,PC,1,80687,80687,1,88405,88405,,
7,52.2-3 MC+,I7-2,CHLA,1,8656.6,8656.6,1,8987.3,8987.3,,
9,52.2-3 MC+,I7-2,PC,0.5,70382,140764,0.5,83679,167358,,
9,52.2-3 MC+,I7-2,CHLA,0.5,7686.8,15373.6,0.5,8325,16650,,
12,52.2-3 MC+,I7-2,PC,0.5,90009,180018,0.5,72504,145008,,
12,52.2-3 MC+,I7-2,CHLA,0.5,10272,20544,0.5,7511.9,15023.8,,
14,52.2-3 MC+,I7-2,PC,0.5,80301,160602,0.5,70952,141904,,
14,52.2-3 MC+,I7-2,CHLA,0.5,8111,16222,0.5,8188.2,16376.4,,
16,52.2-3 MC+,I7-2,PC,1,69944,69944,1,72242,72242,,
16,52.2-3 MC+,I7-2,CHLA,1,9462.6,9462.6,1,10017,10017,,
0,52.2-3 MC+,U,PC,1,44013,44013,1,43397,43397,,
0,52.2-3 MC+,U,CHLA,1,4462,4462,1,4460.9,4460.9,,
2,52.2-3 MC+,U,PC,1,24405,24405,1,23914,23914,,
2,52.2-3 MC+,U,CHLA,1,2562.6,2562.6,1,2600.8,2600.8,,
5,52.2-3 MC+,U,PC,1,45322,45322,1,54448,54448,,
5,52.2-3 MC+,U,CHLA,1,4989.6,4989.6,1,5909.1,5909.1,,
7,52.2-3 MC+,U,PC,1,72661,72661,1,82756,82756,,
7,52.2-3 MC+,U,CHLA,1,6785.4,6785.4,1,7824.5,7824.5,,
9,52.2-3 MC+,U,PC,0.5,69669,139338,0.5,59967,119934,,
9,52.2-3 MC+,U,CHLA,0.5,7237.6,14475.2,0.5,6703,13406,,
12,52.2-3 MC+,U,PC,0.5,57211,114422,1,98945,98945,,
12,52.2-3 MC+,U,CHLA,0.5,6184.5,12369,1,9490.7,9490.7,,
14,52.2-3 MC+,U,PC,0.5,75482,150964,0.5,87783,175566,,
14,52.2-3 MC+,U,CHLA,0.5,7834.6,15669.2,0.5,8139.1,16278.2,,
16,52.2-3 MC+,U,PC,1,85505,85505,0.5,82756,165512,,
16,52.2-3 MC+,U,CHLA,1,8010.5,8010.5,0.5,7699.9,15399.8,,
0,52.2-3 MC+,WC-1,PC,1,43024,43024,1,41204,41204,,
0,52.2-3 MC+,WC-1,CHLA,1,4925.2,4925.2,1,4693.1,4693.1,,
2,52.2-3 MC+,WC-1,PC,1,27397,27397,1,35063,35063,,
2,52.2-3 MC+,WC-1,CHLA,1,3234.9,3234.9,1,4038.8,4038.8,,
5,52.2-3 MC+,WC-1,PC,1,44621,44621,1,37702,37702,,
5,52.2-3 MC+,WC-1,CHLA,1,5057.9,5057.9,1,4793.6,4793.6,,
7,52.2-3 MC+,WC-1,PC,1,85754,85754,1,75397,75397,,
7,52.2-3 MC+,WC-1,CHLA,1,8634.5,8634.5,1,7540.1,7540.1,,
9,52.2-3 MC+,WC-1,PC,0.5,82258,164516,0.5,69086,138172,,
9,52.2-3 MC+,WC-1,CHLA,0.5,8335,16670,0.5,7395.4,14790.8,,
12,52.2-3 MC+,WC-1,PC,0.5,81859,163718,0.5,91155,182310,,
12,52.2-3 MC+,WC-1,CHLA,0.5,9184.2,18368.4,0.5,9700.8,19401.6,,
14,52.2-3 MC+,WC-1,PC,0.5,73774,147548,0.5,60000,120000,,
14,52.2-3 MC+,WC-1,CHLA,0.5,9790.2,19580.4,0.5,8804.4,17608.8,,
16,52.2-3 MC+,WC-1,PC,0.5,57014,114028,0.5,40360,80720,,
16,52.2-3 MC+,WC-1,CHLA,0.5,9701.7,19403.4,0.5,8693.8,17387.6,,
0,LE17-5,A22.3,PC,1,46435,46435,1,47692,47692,,
0,LE17-5,A22.3,CHLA,1,4375.5,4375.5,1,4625.8,4625.8,,
2,LE17-5,A22.3,PC,1,17564,17564,1,16687,16687,,
2,LE17-5,A22.3,CHLA,1,1950.6,1950.6,1,1961.6,1961.6,,
5,LE17-5,A22.3,PC,1,60549,60549,1,61695,61695,,
5,LE17-5,A22.3,CHLA,1,5213.6,5213.6,1,5340.2,5340.2,,
7,LE17-5,A22.3,PC,1,81970,81970,1,87436,87436,,
7,LE17-5,A22.3,CHLA,1,7274.8,7274.8,1,7563.3,7563.3,,
9,LE17-5,A22.3,PC,1,72098,72098,1,80910,80910,,
9,LE17-5,A22.3,CHLA,1,6690.9,6690.9,1,7620.5,7620.5,,
12,LE17-5,A22.3,PC,0.5,76189,152378,0.5,87371,174742,,
12,LE17-5,A22.3,CHLA,0.5,6803.5,13607,0.5,7823.5,15647,,
14,LE17-5,A22.3,PC,0.5,95463,190926,0.5,96654,193308,,
14,LE17-5,A22.3,CHLA,0.5,8160.1,16320.2,0.5,8697.8,17395.6,,
16,LE17-5,A22.3,PC,0.33,80026,242503.0303,0.33,63914,193678.7879,,
16,LE17-5,A22.3,CHLA,0.33,7187.4,21780,0.33,6439.7,19514.24242,,
0,LE17-5,A54.2,PC,1,50839,50839,1,51443,51443,,
0,LE17-5,A54.2,CHLA,1,4676,4676,1,4737.3,4737.3,,
2,LE17-5,A54.2,PC,1,24792,24792,1,16314,16314,,
2,LE17-5,A54.2,CHLA,1,2469.1,2469.1,1,1906.3,1906.3,,
5,LE17-5,A54.2,PC,1,59162,59162,1,45643,45643,,
5,LE17-5,A54.2,CHLA,1,5054.9,5054.9,1,4235.9,4235.9,,
7,LE17-5,A54.2,PC,1,71816,71816,1,75567,75567,,
7,LE17-5,A54.2,CHLA,1,6221.6,6221.6,1,6731.1,6731.1,,
9,LE17-5,A54.2,PC,1,104157,104157,1,75810,75810,,
9,LE17-5,A54.2,CHLA,1,9984.1,9984.1,1,7452.7,7452.7,,
12,LE17-5,A54.2,PC,0.5,86828,173656,0.5,85034,170068,,
12,LE17-5,A54.2,CHLA,0.5,8248.5,16497,0.5,8515.9,17031.8,,
14,LE17-5,A54.2,PC,0.5,91116,182232,0.5,85846,171692,,
14,LE17-5,A54.2,CHLA,0.5,9366,18732,0.5,9225.4,18450.8,,
16,LE17-5,A54.2,PC,0.5,84923,169846,0.5,89924,179848,,
16,LE17-5,A54.2,CHLA,0.5,8724.9,17449.8,0.5,9110.9,18221.8,,
0,LE17-5,I6-1,PC,1,56366,56366,1,56497,56497,,
0,LE17-5,I6-1,CHLA,1,5656.8,5656.8,1,5704,5704,,
2,LE17-5,I6-1,PC,1,41374,41374,1,39613,39613,,
2,LE17-5,I6-1,CHLA,1,4183.6,4183.6,1,4094.1,4094.1,,
5,LE17-5,I6-1,PC,1,59797,59797,1,53427,53427,,
5,LE17-5,I6-1,CHLA,1,5962.3,5962.3,1,5555.3,5555.3,,
7,LE17-5,I6-1,PC,1,84772,84772,1,78121,78121,,
7,LE17-5,I6-1,CHLA,1,8152.1,8152.1,1,7983.3,7983.3,,
9,LE17-5,I6-1,PC,0.5,78756,157512,0.5,75351,150702,,
9,LE17-5,I6-1,CHLA,0.5,8093.8,16187.6,0.5,7999.3,15998.6,,
12,LE17-5,I6-1,PC,0.33,82225,249166.6667,0.33,85270,258393.9394,,
12,LE17-5,I6-1,CHLA,0.33,8001.4,24246.66667,0.33,8516.9,25808.78788,,
14,LE17-5,I6-1,PC,0.5,100333,200666,0.5,104098,208196,,
14,LE17-5,I6-1,CHLA,0.5,11678,23356,0.5,12117,24234,,
16,LE17-5,I6-1,PC,1,90893,90893,1,100124,100124,,
16,LE17-5,I6-1,CHLA,1,13373,13373,1,15407,15407,,
0,LE17-5,I6-2,PC,1,60824,60824,1,58369,58369,,
0,LE17-5,I6-2,CHLA,1,5560.3,5560.3,1,5376.5,5376.5,,
2,LE17-5,I6-2,PC,1,26893,26893,1,27116,27116,,
2,LE17-5,I6-2,CHLA,1,2858,2858,1,2744.5,2744.5,,
5,LE17-5,I6-2,PC,1,69486,69486,1,69499,69499,,
5,LE17-5,I6-2,CHLA,1,6129.2,6129.2,1,6006.6,6006.6,,
7,LE17-5,I6-2,PC,1,74029,74029,1,90978,90978,,
7,LE17-5,I6-2,CHLA,1,7022.5,7022.5,1,8125,8125,,
9,LE17-5,I6-2,PC,1,96549,96549,1,85656,85656,,
9,LE17-5,I6-2,CHLA,1,9430.4,9430.4,1,8742,8742,,
12,LE17-5,I6-2,PC,0.5,102127,204254,0.5,95672,191344,,
12,LE17-5,I6-2,CHLA,0.5,9546.9,19093.8,0.5,9044.5,18089,,
14,LE17-5,I6-2,PC,0.5,95986,191972,0.5,105080,210160,,
14,LE17-5,I6-2,CHLA,0.5,9813.2,19626.4,0.5,10412,20824,,
16,LE17-5,I6-2,PC,1,104150,104150,0.5,81793,163586,,
16,LE17-5,I6-2,CHLA,1,10771,10771,0.5,9191.3,18382.6,,
0,LE17-5,I7-2,PC,1,56477,56477,1,56445,56445,,
0,LE17-5,I7-2,CHLA,1,5137.3,5137.3,1,5228.7,5228.7,,
2,LE17-5,I7-2,PC,1,28831,28831,1,23954,23954,,
2,LE17-5,I7-2,CHLA,1,2788.8,2788.8,1,2633,2633,,
5,LE17-5,I7-2,PC,1,59181,59181,1,73826,73826,,
5,LE17-5,I7-2,CHLA,1,5564.4,5564.4,1,6037.7,6037.7,,
7,LE17-5,I7-2,PC,1,83980,83980,1,67659,67659,,
7,LE17-5,I7-2,CHLA,1,7552.1,7552.1,1,6387.4,6387.4,,
9,LE17-5,I7-2,PC,1,85761,85761,1,74867,74867,,
9,LE17-5,I7-2,CHLA,1,7959.1,7959.1,1,7373.3,7373.3,,
12,LE17-5,I7-2,PC,1,85328,85328,1,93198,93198,,
12,LE17-5,I7-2,CHLA,1,7774.3,7774.3,1,8138,8138,,
14,LE17-5,I7-2,PC,0.5,63103,126206,0.5,53558,107116,,
14,LE17-5,I7-2,CHLA,0.5,6443.7,12887.4,0.5,6413.6,12827.2,,
16,LE17-5,I7-2,PC,1,94815,94815,1,106042,106042,,
16,LE17-5,I7-2,CHLA,1,10655,10655,1,11019,11019,,
0,LE17-5,U,PC,1,53001,53001,1,52288,52288,,
0,LE17-5,U,CHLA,1,4211.7,4211.7,1,4316.3,4316.3,,
2,LE17-5,U,PC,1,38972,38972,1,38212,38212,,
2,LE17-5,U,CHLA,1,3081.1,3081.1,1,3017.9,3017.9,,
5,LE17-5,U,PC,1,74317,74317,1,70880,70880,,
5,LE17-5,U,CHLA,1,6217.6,6217.6,1,5797.6,5797.6,,
7,LE17-5,U,PC,1,93217,93217,1,95869,95869,,
7,LE17-5,U,CHLA,1,7590.3,7590.3,1,8117.9,8117.9,,
9,LE17-5,U,PC,1,80399,80399,1,90284,90284,,
9,LE17-5,U,CHLA,1,7016.5,7016.5,1,7959.1,7959.1,,
12,LE17-5,U,PC,0.5,98998,197996,0.5,97322,194644,,
12,LE17-5,U,CHLA,0.5,9220.3,18440.6,0.5,8979.1,17958.2,,
14,LE17-5,U,PC,0.5,74710,149420,0.5,73891,147782,,
14,LE17-5,U,CHLA,0.5,8750,17500,0.5,8790.2,17580.4,,
16,LE17-5,U,PC,1,67155,67155,1,66710,66710,,
16,LE17-5,U,CHLA,1,10652,10652,1,10959,10959,,
0,LE17-5,WC-1,PC,1,51646,51646,1,53610,53610,,
0,LE17-5,WC-1,CHLA,1,4599.7,4599.7,1,4889.1,4889.1,,
2,LE17-5,WC-1,PC,1,12248,12248,1,16661,16661,,
2,LE17-5,WC-1,CHLA,1,1416.9,1416.9,1,1721.5,1721.5,,
5,LE17-5,WC-1,PC,1,47862,47862,1,52792,52792,,
5,LE17-5,WC-1,CHLA,1,4253.9,4253.9,1,4650.9,4650.9,,
7,LE17-5,WC-1,PC,1,78873,78873,1,78402,78402,,
7,LE17-5,WC-1,CHLA,1,6703,6703,1,7215.5,7215.5,,
9,LE17-5,WC-1,PC,1,85545,85545,1,78566,78566,,
9,LE17-5,WC-1,CHLA,1,7379.3,7379.3,1,7088.9,7088.9,,
12,LE17-5,WC-1,PC,1,86173,86173,0.5,83306,166612,,
12,LE17-5,WC-1,CHLA,1,8683.8,8683.8,0.5,8224.6,16449.2,,
14,LE17-5,WC-1,PC,0.5,40962,81924,1,93276,93276,,
14,LE17-5,WC-1,CHLA,0.5,6267.9,12535.8,1,10494,10494,,
16,LE17-5,WC-1,PC,1,17918,17918,1,28831,28831,,
16,LE17-5,WC-1,CHLA,1,5096,5096,1,6203.5,6203.5,,
